|American Irony|,,,,,,,,,,
|7|,|16|,|2011|,,,,,,,,
40,200,|Zero Budget Racing|,|C|,|1982|,|Chevrolet|,|Chevette|,189,02:17.906,,
41,51,|The Days of Thunder|,|B|,|1994|,|Ford|,|Mustang|,183,01:54.272,6,
42,68,|Sergeant Shitbox|,|A|,|1986|,|BMW|,|325es|,166,01:47.515,1,
43,66,|Holy Rollers|,|A|,|1988|,|Acura|,|Integra|,163,01:45.772,,
44,131,|Team Anarchy|,|C|,|1993|,|Dodge|,|Shadow Turbo|,162,01:57.075,,
45,3,|HardDriveRacing|,|B|,|1985|,|Chevy|,|Camaro|,155,01:53.595,,
46,22,|Team Carbeque|,|B|,|1989|,|SAAB|,|900|,153,01:54.650,,
47,123,|VanderWerp Fbody Racing Sponsored by The Bedazzler|,|B|,|1985|,|Pontiac|,|Trans Am|,150,01:50.609,1,
48,76,|Wiley's Coyotes|,|A|,|1985|,|BMW|,|325e|,148,01:55.250,,
49,44,|If You Can't Duck It Fuck It|,|A|,|1986|,|Porsche|,|944|,142,01:47.898,,
50,15,|Team Little Douche Coupe|,|A|,|1989|,|Ford|,|Mustang|,113,01:49.743,6,
51,999,|Love2hate2|,|A|,,,,109,01:53.391,7,
52,1,|Speedy Cop|,|C|,,,,102,02:08.764,,
53,666,|Cardinal Sin Racing|,|C|,|1975|,|Fiat|,|X 1/9|,91,01:53.658,,
54,70,|Captain Morgan's Rum Runners|,|B|,|1991|,|Ford|,|Thunderbird|,76,01:54.590,,
55,87,|Chicken and Waffles|,|B|,|1987|,|Volkswagen|,|Quantum Syncro Wagon|,73,01:55.465,,
56,69,|Bust-A-Nut Racing|,|B|,|1996|,|Mazda|,|MX6|,67,01:52.254,,
57,13,|Hell Kitty Racing|,|A|,|1988|,|Honda|,|Prelude|,64,01:47.953,,
58,7,|James Bondo|,|C|,|1980|,|Triumph|,|TR-7|,14,02:15.005,,
59,98,|Team Jager Bombers|,|A|,|1987|,|Mazda|,|RX-7|,1,,,
60,77,|Pink Ladies|,|A|,|1996|,|Mazda|,|Miata|,-223,01:50.838,500,
